,# source_id,ra,dec,pmra,pmdec,x,y,vx,vy,plx,memberprob,pmcorr,pmrae,pmdece,plxe
15006,1821607990886119424,298.481462,18.763929,-4.297,-2.3164,0.0357,-0.0153,-0.8315377598350797,0.2624767050334995,0.789,0.98397,0.1172,0.434,0.4528,0.4839
15008,1821608746800076672,298.479974,18.765439,-3.6527,-2.9038,0.0343,-0.0138,-0.18723775983507984,-0.32492329496650063,0.0565,0.98501,0.4072,0.4685,0.4337,0.4566
15009,1821607990884477952,298.481738,18.762911,-3.4476,-2.9752,0.036,-0.0163,0.017862240164919996,-0.39632329496650076,0.178,0.99493,0.0922,0.1198,0.1379,0.1408
15010,1821607990919193856,298.482235,18.76312,-3.3489,-2.6521,0.0365,-0.0161,0.11656224016492,-0.0732232949665006,0.0031,0.99848,0.0104,0.0916,0.0912,0.1019
15016,1821608746800896000,298.479639,18.766792,-3.5821,-2.5059,0.034,-0.0124,-0.11663775983508007,0.07297670503349929,0.2527,0.99916,-0.0126,0.0758,0.0721,0.0817
15018,1821608742500824832,298.480654,18.765964,-3.5307,-2.6431,0.035,-0.0132,-0.06523775983507996,-0.0642232949665007,0.1889,0.9976,-0.102,0.016,0.0156,0.018
15021,1821608746833452672,298.48048,18.76826,-3.3278,-2.6086,0.0348,-0.0109,0.13766224016492012,-0.029723294966500724,0.5387,0.99826,0.2287,0.1414,0.1485,0.1492
15022,1821608746798740352,298.482406,18.765994,-3.5233,-2.4412,0.0366,-0.0132,-0.05783775983507988,0.1376767050334995,0.2278,0.99913,0.0293,0.0643,0.0624,0.0686
15034,1821607990884429440,298.487703,18.763217,-4.3008,-3.0379,0.0416,-0.016,-0.8353377598350797,-0.45902329496650074,0.1068,0.96706,0.7766,0.8042,0.9705,0.5558
15037,1821607990919186816,298.486703,18.765492,-3.2978,-2.8333,0.0407,-0.0137,0.16766224016491993,-0.2544232949665006,0.2645,0.99918,-0.1046,0.0159,0.0154,0.0176
15041,1821607990884442496,298.487265,18.765049,-3.6325,-2.3908,0.0412,-0.0141,-0.16703775983507985,0.18807670503349927,0.2251,0.99642,-0.0022,0.0491,0.0482,0.0549
15046,1821608746833462272,298.479076,18.770571,-3.6033,-2.2473,0.0335,-0.0086,-0.13783775983507995,0.33157670503349923,-0.1376,0.99181,0.2909,0.3986,0.4445,0.5272
15049,1821608746833451392,298.481643,18.769505,-3.6616,-2.8213,0.0359,-0.0097,-0.19613775983507997,-0.2424232949665006,0.2286,0.99652,0.121,0.1684,0.1963,0.1895
15050,1821608746833446656,298.48223,18.768207,-3.2755,-2.2893,0.0365,-0.011,0.18996224016491992,0.2895767050334994,-0.291,0.98608,0.1635,0.1311,0.1232,0.1282
15053,1821608746833449216,298.482195,18.769502,-3.1823,-2.8498,0.0364,-0.0097,0.28316224016491987,-0.2709232949665008,0.2292,0.99516,-0.0501,0.0856,0.0842,0.0953
15055,1821608746833444864,298.484095,18.769468,-3.8283,-2.75,0.0382,-0.0097,-0.36283775983508004,-0.1711232949665007,-0.3954,0.9918,0.3338,0.431,0.4215,0.4421
15064,1821607990885824384,298.486917,18.767891,-4.2588,-1.9354,0.0409,-0.0113,-0.7933377598350799,0.6434767050334993,0.4626,0.97734,0.2045,0.476,0.49,0.4882
15068,1821607986586584064,298.487469,18.767521,-3.4947,-2.565,0.0414,-0.0117,-0.029237759835079924,0.013876705033499359,0.0968,0.99855,0.0585,0.0622,0.0616,0.0706
15070,1821607990884459520,298.487943,18.769073,-3.4228,-2.5822,0.0419,-0.0101,0.04266224016491993,-0.003323294966500523,0.0762,0.99898,-0.0007,0.0693,0.0712,0.0804
15072,1821608742496825216,298.485563,18.77041,-3.1168,-2.5829,0.0396,-0.0088,0.34866224016492,-0.004023294966500668,-0.1387,0.98615,0.0308,0.0939,0.0899,0.1027
15075,1821608746798748032,298.485435,18.772196,-4.2054,-2.3578,0.0395,-0.007,-0.73993775983508,0.2210767050334992,0.8203,0.9857,0.1494,0.3305,0.3422,0.3998
15078,1821608781158476928,298.486466,18.772196,-3.5177,-2.6322,0.0405,-0.007,-0.052237759835080055,-0.05332329496650079,0.3231,0.99951,-0.0509,0.032,0.0311,0.0362
15079,1821608781158455296,298.487749,18.770825,-2.8443,-2.1658,0.0417,-0.0084,0.6211622401649199,0.41307670503349936,-0.7493,0.97195,0.084,0.371,0.3895,0.4275
15080,1821608025244190720,298.489662,18.770228,-3.4667,-2.2806,0.0435,-0.009,-0.001237759835079899,0.2982767050334991,0.4187,0.99579,0.1753,0.2536,0.261,0.2786
15088,1821607990919176960,298.49101,18.764986,-2.9391,-2.3884,0.0448,-0.0142,0.5263622401649202,0.19047670503349945,0.1364,0.97799,0.2571,0.1843,0.2074,0.1962
15089,1821607990886389248,298.491366,18.764391,-3.2203,-2.8383,0.0451,-0.0148,0.24516224016492005,-0.2594232949665005,0.0258,0.9802,0.4351,0.427,0.4416,0.3949
15096,1821607990885813376,298.494783,18.763881,-3.588,-2.3785,0.0483,-0.0153,-0.12253775983508008,0.20037670503349947,0.0733,0.98419,0.091,0.4981,0.5574,0.5063
15102,1821608025244082304,298.497359,18.762679,-3.073,-2.3352,0.0508,-0.0165,0.39246224016492004,0.24367670503349936,0.4969,0.98662,0.1078,0.2053,0.2195,0.215
15108,1821608025244092160,298.497011,18.764353,-3.7686,-2.2365,0.0505,-0.0148,-0.3031377598350802,0.3423767050334994,0.3758,0.9737,-0.0236,0.1112,0.1065,0.1175
15117,1821608025278923008,298.490001,18.76901,-3.4674,-2.6266,0.0438,-0.0102,-0.001937759835080044,-0.04772329496650052,0.2201,0.99903,0.0115,0.1164,0.1337,0.1312
15119,1821608025278912768,298.493031,18.766916,-3.6441,-2.4153,0.0467,-0.0123,-0.1786377598350799,0.16357670503349953,0.4116,0.99516,0.006,0.0768,0.0733,0.0801
15120,1821608025244141568,298.492774,18.767306,-3.284,-2.6432,0.0464,-0.0119,0.18146224016492019,-0.06432329496650091,0.273,0.99806,0.2994,0.1192,0.1149,0.1161
15121,1821608020968010112,298.494247,18.76791,-3.1231,-2.8928,0.0478,-0.0113,0.34236224016492,-0.3139232949665005,0.1148,0.98106,0.1661,0.1569,0.1669,0.1604
15123,1821608020968352256,298.491921,18.771797,-3.1547,-2.3313,0.0456,-0.0074,0.31076224016491993,0.24757670503349916,0.1989,0.99382,0.1547,0.2073,0.2325,0.2222
15126,1821608025278914176,298.494254,18.769637,-3.4907,-2.638,0.0478,-0.0096,-0.02523775983507992,-0.059123294966500595,0.1839,0.99939,-0.0079,0.0376,0.0367,0.042
15127,1821608025244165888,298.492795,18.770515,-3.1261,-2.5714,0.0465,-0.0087,0.3393622401649199,0.007476705033499176,-0.1751,0.99205,0.2488,0.2194,0.2268,0.2199
15128,1821608025244161280,298.49334,18.770452,-4.5168,-1.9463,0.047,-0.0087,-1.05133775983508,0.6325767050334994,0.7006,0.95958,0.1031,0.7238,0.7984,0.7346
15134,1821608020946324992,298.4969,18.766588,-3.3344,-2.7886,0.0503,-0.0126,0.13106224016491996,-0.20972329496650088,0.1619,0.99802,0.0186,0.0811,0.0789,0.0872
15136,1821608025244111744,298.497179,18.768051,-3.7796,-2.5571,0.0506,-0.0111,-0.31413775983507986,0.021776705033499155,-0.1758,0.99276,0.3435,0.2455,0.2529,0.244
15140,1821608025244093952,298.499273,18.767912,-3.3936,-2.5892,0.0526,-0.0113,0.07186224016491982,-0.01032329496650064,0.8895,0.99109,0.0849,0.2191,0.2356,0.2352
15143,1821608020945734272,298.496683,18.769708,-3.5529,-2.6871,0.0501,-0.0095,-0.08743775983508018,-0.10822329496650074,0.1208,0.99789,0.1946,0.16,0.1652,0.1598
15144,1821608025245554688,298.495762,18.77061,-3.7933,-3.053,0.0493,-0.0086,-0.3278377598350799,-0.47412329496650063,0.183,0.96752,0.4833,0.646,0.6566,0.491
15145,1821608025244127104,298.497197,18.770679,-3.5066,-2.7372,0.0506,-0.0085,-0.04113775983508017,-0.15832329496650077,0.3509,0.9862,0.335,0.4467,0.4385,0.4438
