file_name,mean_x,mean_y,mean_vx,mean_vy,size,r_sun,vPhi.vR,rotating,age,RA,DEC,L,B,R_sun,R_gc,X,Y,Z,X.Fe.H.,wt,E.B.V.,V_HB,X.m.M.V,V_t,M_V.t,U.B,B.V,V.R,V.I,spt,ellip
NGC_6139.txt,66.9186531731884,-0.736890899148191,-6.16478362318841,-2.67321760869565,1380,10.1,-10.0025,0,NA,16 27 40.37,-38 50 55.5,342.37,6.94,10.1,3.6,9.6,-3,1.2,-1.65,2,0.75,17.9,17.35,8.99,-8.36,0.73,1.4,0.91,1.86,F6/7,0.05
NGC_6144.txt,66.8083476792108,-0.470691475509148,-1.6770880891487,-2.5920611983924,2737,8.9,3.09563,0,12.75+-0.50,16 27 13.86,-26 01 24.6,351.93,15.7,8.9,2.7,8.5,-1.2,2.4,-1.76,4,0.36,16.4,15.86,9.01,-6.85,0.35,0.96,0.6,1.1,F5/6,0.25
NGC_6171_M_107.txt,NA,NA,NA,NA,NA,NA,NA,NA,12.00+-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NGC_6171_M107.txt,68.1326639417259,-0.229838062667774,-1.92924810576164,-5.9965092738753,7602,6.4,0.809703,0,NA,16 32 31.86,-13 03 13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5,-1.02,4,0.33,15.7,15.05,7.93,-7.12,0.69,1.1,0.72,1.45,G0,0.02
NGC_6205_M_13.txt,70.42217796656,0.684211378463057,-3.14321150611747,-2.56985918609636,30323,7.1,-0.739052,0,12.00+-0.38,16 41 41.24,+36 27 35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7,-1.53,13,0.02,14.9,14.33,5.78,-8.55,-0.02,0.68,NA,0.86,F6,0.11
NGC_6218_M_12.txt,71.8100143089925,-0.0340304704830915,-0.171388861190491,-6.82118490910196,16447,4.8,-7.95506,0,13.00+-0.50,16 47 14.18,-01 56 54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1,-1.37,5,0.19,14.6,14.01,6.7,-7.31,0.2,0.83,0.56,1.14,F8,0.04
NGC_6229.txt,71.744500343299,0.945214394756362,-1.10589134020619,-0.345999690721649,970,30.5,1.79829,0,NA,16 46 58.79,+47 31 39.9,73.64,40.31,30.5,29.8,6.5,22.3,19.7,-1.47,2,0.01,18.03,17.45,9.39,-8.06,-0.03,0.7,NA,1.01,F7,0.05
NGC_6235.txt,73.3549471364366,-0.397106277096624,-3.88646725521669,-7.71914060995185,1246,11.5,0.489127,0,NA,16 53 25.31,-22 10 38.8,358.92,13.52,11.5,4.2,11.2,-0.2,2.7,-1.28,4,0.31,16.87,16.26,9.97,-6.29,0.44,1.05,0.66,1.36,F9,0.13
NGC_6254_M_10.txt,74.2872343559542,-0.0716238821341251,-4.77810357249626,-6.63062552566019,20070,4.4,12.3081,0,11.75+-0.38,16 57 09.05,-04 06 01.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7,-1.56,4,0.28,14.65,14.08,6.6,-7.48,0.23,0.9,0.53,1.21,F3,0
NGC_6256.txt,74.8857205820896,-0.69863392866358,-3.71974089552239,-1.63009014925373,335,10.3,0.287412,0,NA,16 59 32.62,-37 07 17.0,347.79,3.31,10.3,3,10,-2.2,0.6,-1.02,2,1.09,19.09,18.44,11.29,-7.15,1.03,1.69,NA,NA,,NA
NGC_6266_M_62.txt,75.2995297312187,-0.551530742958121,-5.0361225375626,-2.9140530884808,2396,6.8,-32.6472,0,NA,17 01 12.80,-30 06 49.4,353.57,7.32,6.8,1.7,6.7,-0.8,0.9,-1.18,3,0.47,16.25,15.63,6.45,-9.18,0.52,1.19,0.74,1.58,F9,0.01
NGC_6273_M_19.txt,75.655517143076,-0.475436075753587,-3.27675026041667,1.77819181985294,6528,8.8,35.7563,0,NA,17 02 37.80,-26 16 04.7,356.87,9.38,8.8,1.7,8.7,-0.5,1.4,-1.74,4,0.38,16.44,15.9,6.77,-9.13,0.35,1.03,0.66,1.35,F7,0.27
NGC_6284.txt,76.1192657439446,-0.446351408346698,-3.21083979238754,-2.00138131487889,578,15.3,-1.75278,0,NA,17 04 28.51,-24 45 53.5,358.35,9.94,15.3,7.5,15,-0.4,2.6,-1.26,2,0.28,17.4,16.79,8.83,-7.96,0.4,0.99,0.65,1.31,F9,0.03
NGC_6287.txt,76.2878401919075,-0.407189654674441,-5.13999953757225,-1.83034312138728,1730,9.4,0.816853,0,NA,17 05 09.13,-22 42 30.1,0.13,11.02,9.4,2.1,9.2,0,1.8,-2.1,2,0.6,17.2,16.72,9.35,-7.36,0.52,1.2,0.83,1.74,F5,0.13
NGC_6293.txt,77.5425225065445,-0.481546043661861,0.954743586387435,-4.34756662303665,764,9.5,-0.877154,0,NA,17 10 10.20,-26 34 55.5,357.62,7.83,9.5,1.9,9.4,-0.4,1.3,-1.99,5,0.36,16.5,16,8.22,-7.78,0.29,0.96,0.63,1.28,F3,0.03
NGC_6304.txt,78.6354566964856,-0.538493239507641,-4.08696837060703,-1.05129345047923,626,5.9,-3.5113,0,11.25+-0.38,17 14 32.25,-29 27 43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6,-0.45,4,0.54,16.25,15.52,8.22,-7.3,0.82,1.31,0.77,1.7,G3,0.02
NGC_6316.txt,79.1562126565217,-0.512143085377433,-4.98566,-4.59261652173913,230,10.4,-10.234,0,NA,17 16 37.30,-28 08 24.4,357.18,5.76,10.4,2.6,10.4,-0.5,1,-0.45,5,0.54,17.5,16.77,8.43,-8.34,0.62,1.39,0.85,1.8,G2,0.04
NGC_6325.txt,79.4968392921196,-0.427229445950773,-8.59346820652174,-9.12013342391304,736,7.8,102.83,0,NA,17 17 59.21,-23 45 57.6,0.97,8,7.8,1.1,7.7,0.1,1.1,-1.25,4,0.91,17.9,17.29,10.33,-6.96,0.85,1.66,NA,2.15,G0,0.12
NGC_6333_M_9.txt,79.7988528675497,-0.328947546818347,-2.15680278145695,-3.21278119205298,1510,7.9,38.1358,0,NA,17 19 11.26,-18 30 57.4,5.54,10.71,7.9,1.7,7.7,0.7,1.5,-1.77,2,0.38,16.2,15.67,7.72,-7.95,0.32,0.97,0.63,1.33,F5/6,0.04
NGC_6341_M_92.txt,79.2813658261056,0.836074680217516,-4.96508200228997,-0.639966051238013,13974,8.3,4.55374,0,12.75+-0.25,17 17 07.39,+43 08 09.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7,-2.31,8,0.02,15.1,14.65,6.44,-8.21,0.01,0.63,NA,0.88,F2,0.1
NGC_6342.txt,80.2938493728814,-0.348731670210936,-2.91710529661017,-7.16518368644068,472,8.5,-0.761019,0,NA,17 21 10.08,-19 35 14.7,4.9,9.72,8.5,1.7,8.4,0.7,1.4,-0.55,5,0.46,16.8,16.08,9.66,-6.42,0.77,1.26,0.8,1.57,G3/4,0.18
