"","point_bp_rp","point_gmag"
"216",1.1,16.6115090659341
"217",1.1,16.6806726541555
"218",0.9,16.7481303258145
"219",1.1,16.7481303258145
"220",0.9,16.8134782396088
"221",1.1,16.8134782396088
"222",0.9,16.8787418439716
"223",1.1,16.8787418439716
"224",0.9,16.9460421768707
"225",1.1,16.9460421768707
"226",0.95,17.014216039604
"227",1.05,17.014216039604
"228",0.9,17.0821477495108
"229",1.1,17.0821477495108
"230",0.9,17.1483664122137
"231",1.1,17.1483664122137
"232",0.9,17.2159373134328
"233",1.1,17.2159373134328
"234",0.9,17.2830187127533
"235",1.1,17.2830187127533
"236",0.9,17.3494210251046
"237",0.85,17.4173572657744
"238",0.95,17.4173572657744
"239",1.05,17.4173572657744
"240",0.9,17.4831101867572
"241",0.9,17.5506774647887
"242",0.85,17.6174342291372
"243",0.95,17.6174342291372
"244",0.75,17.6840092406877
"245",0.85,17.6840092406877
"246",0.95,17.6840092406877
"247",0.75,17.7517118665019
"248",0.85,17.7517118665019
"249",0.95,17.7517118665019
"250",0.75,17.8185733576642
"251",0.85,17.8185733576642
"252",0.95,17.8185733576642
"253",0.7,17.8856707531611
"254",0.9,17.8856707531611
"255",0.75,17.9518957135106
"256",0.85,17.9518957135106
"257",0.95,17.9518957135106
"258",0.75,18.0186667830424
"259",0.85,18.0186667830424
"260",0.7,18.0860621490803
"261",0.9,18.0860621490803
"262",0.7,18.1533787979177
"263",0.9,18.1533787979177
"264",0.7,18.2206421981004
"265",0.9,18.2206421981004
"266",0.7,18.2866831121281
"267",0.9,18.2866831121281
"268",0.7,18.355540911026
"269",0.9,18.355540911026
"270",0.7,18.4217189846416
"271",0.9,18.4217189846416
"272",0.7,18.4879773344652
"273",0.9,18.4879773344652
"274",0.7,18.5549497582595
"275",0.9,18.5549497582595
"276",0.7,18.6218734082397
"277",0.9,18.6218734082397
"278",0.7,18.6888128753599
"279",0.9,18.6888128753599
"280",0.7,18.7564726627219
"281",0.9,18.7564726627219
"282",0.75,18.823571641791
"283",0.9,18.8901008668243
"284",0.75,18.9568019729207
"285",0.9,19.0241304231796
"286",0.9,19.0916492514395
"287",0.9,19.1583562187139
"288",0.75,19.2253535298681
"289",0.9,19.2916611567164
"290",1.1,19.2916611567164
"291",0.75,19.3591558210087
"292",1.25,19.3591558210087
"293",0.9,19.4260953340799
"294",1.1,19.4260953340799
"295",0.9,19.4938152239939
"296",1.1,19.4938152239939
"297",0.9,19.5603830055075
"298",1.1,19.5603830055075
"299",0.75,19.6271489988221
"300",1.25,19.6271489988221
"301",0.9,19.69474630394
"302",1.1,19.69474630394
"303",0.75,19.7618795213809
"304",1.25,19.7618795213809
"305",0.75,19.8291831734612
"306",1.25,19.8291831734612
"307",0.75,19.8957668416801
"308",1.25,19.8957668416801
"309",0.75,19.9625077690071
"310",1.25,19.9625077690071
"311",0.9,20.0298929612661
"312",1.1,20.0298929612661
"313",1.3,20.0298929612661
"314",0.75,20.0967186813187
"315",1.25,20.0967186813187
"316",0.75,20.1633074276123
"317",1.25,20.1633074276123
"318",0.75,20.2304355672361
"319",1.25,20.2304355672361
"320",0.75,20.2973558395769
"321",1.25,20.2973558395769
"322",0.75,20.3650447732697
"323",1.25,20.3650447732697
"324",0.75,20.4310956673307
"325",1.25,20.4310956673307
"326",0.75,20.4986504411002
"327",1.25,20.4986504411002
"328",0.75,20.5648306181398
"329",1.25,20.5648306181398
"330",0.75,20.6315985085757
"331",1.25,20.6315985085757
"332",0.75,20.6961839325843
"333",1.25,20.6961839325843
"334",0.75,20.7616504464286
"335",1.25,20.7616504464286
"336",0.75,20.8214819548872
"337",1.25,20.8214819548872
"338",1.75,20.8214819548872
"339",0.9,20.8838666666667
"340",1.1,20.8838666666667
"341",1.3,20.8838666666667
"342",1.5,20.8838666666667
